id,part,question,type,options
1,A,"어떤 일의 어려운 부분이 끝난 후, 마지막 세부 사항을 마무리하는 데 어려움을 겪는 경우가 얼마나 자주 있습니까?",scale,"전혀 없음,거의 없음(한 달에 한 번 이하),때때로(한 달에 몇 번),자주(일주일에 몇 번),매우 자주(거의 매일)"
2,A,"체계가 필요한 일을 할 때 순서대로 진행하기 어려운 경우가 있습니까?",scale,"전혀 없음,거의 없음(한 달에 한 번 이하),때때로(한 달에 몇 번),자주(일주일에 몇 번),매우 자주(거의 매일)"
3,A,"약속이나 해야 할 일을 잊어버려 곤란을 겪은 적이 있습니까?",scale,"전혀 없음,거의 없음(한 달에 한 번 이하),때때로(한 달에 몇 번),자주(일주일에 몇 번),매우 자주(거의 매일)"
4,A,"골치 아픈 일은 피하거나 미루는 경우가 있습니까?",scale,"전혀 없음,거의 없음(한 달에 한 번 이하),때때로(한 달에 몇 번),자주(일주일에 몇 번),매우 자주(거의 매일)"
5,A,"오래 앉아 있을 때, 손을 만지작거리거나 발을 꼼지락거리는 경우가 있습니까?",scale,"전혀 없음,거의 없음(한 달에 한 번 이하),때때로(한 달에 몇 번),자주(일주일에 몇 번),매우 자주(거의 매일)"
6,A,"마치 모터가 달린 것처럼, 과도하게 혹은 멈출 수 없이 활동을 하는 경우가 있습니까?",scale,"전혀 없음,거의 없음(한 달에 한 번 이하),때때로(한 달에 몇 번),자주(일주일에 몇 번),매우 자주(거의 매일)"
